一 ichi "one; best"
白 shiro "white; innocence, innocent person"
白い shiroi white
半分 hanbun half
後半 kouhan "second half, latter half"
半 han "half, semi-; half-past"
氾濫 hanran "overflowing, flood, inundation, deluge; oversupply, plethora"
犯罪 hanzai "crime, offence, offense"
犯人 hannin "offender, criminal, culprit"
犯 han "perpetrators of (some) crime, (some type of) crime"
皮膚 hifu skin
皮 kawa "skin, hide, pelt, fur; rind, peel, husk, bark"
皮肉 hiniku "irony, sarcasm, cynicism, satire; unexpected, different from what one expected, not as one had planned"
必要 hitsuyou "necessary, needed, essential, indispensable; necessity, need, requirement"
必ず kanarazu "always, without exception, necessarily, certainly, without fail, positively, invariably"
必死 hisshi "frantic, frenetic, desperate; inevitable death"
氷 koori "ice; shaved ice (usually served with flavored simple syrup)"
かき氷 kakigoori "shaved ice (usually served with flavored simple syrup), Italian ice, Sno-cone, snow cone"
氷結 hyouketsu "freezing, freezing over"
付け tsuke "bill, bill of sale, payment invoice; tab (for later payment), credit"
付き tsuki "furnished with, including; attached to"
付近 fukin "neighbourhood, neighborhood, vicinity, environs"
配布 haifu distribution
布 nuno "cloth; bujian (spade-shaped bronze coin of ancient China)"
布団 futon "futon; round cushion used for Zen meditation (traditionally made of woven bulrush leaves)"
支払い shiharai payment
払う harau "to pay (e.g. money, bill); to brush off, to wipe away, to clear away, to dust off, to cut off (e.g. branches)"
払い harai "payment, bill, account; sweeping, clearing away"
丙 hei "third in rank, third sign of the Chinese calendar"
平和 heiwa "peace, harmony"
平均 heikin "average, mean; balance, equilibrium"
平成 heisei "Heisei era (January 8, 1989-April 30, 2019)"
辺 hen "area, vicinity, region; side, edge"
周辺 shuuhen "circumference, outskirts, environs, around, in the area of, in the vicinity of; (computer) peripheral"
辺り atari "on the bank of, by the side of (e.g. a river, pond); (in the) neighbourhood, neighborhood, vicinity, nearby"
弁当 bentou bento
弁護士 bengoshi "lawyer, attorney"
弁 ben "speech, tongue, talk, eloquence; dialect, brogue, accent"
母 haha mother
お母さん okaasan "mother, mom, mum, ma; wife"
母親 hahaoya mother
包丁 houchou "kitchen knife, carving knife"
包み tsutsumi "bundle, package, parcel; counter for wrapped objects"
包括 houkatsu "inclusion, complete coverage, comprehensiveness"
北 kita "north; the North, northern territories"
北海道 hokkaidou "Hokkaido (island, prefectural-level administrative unit)"
東北 touhoku "north-east; Tōhoku (northernmost six prefectures of Honshu), Tohoku"
日本 nihon Japan
本 hon "book, volume, script; this, present"
本当に hontouni "really, truly"
末 sue "tip, top; end, close (e.g. close of the month)"
端末 tanmatsu "end (e.g. of a roll of film)"
週末 shuumatsu weekend
未来 mirai "the future (usually distant); future tense"
未 hitsuji "eighth sign of the Chinese zodiac (The Ram, 1pm-3pm, south-southwest, June)"
未だに imadani "still, even now, until this very day"
国民 kokumin "people (of a country), nation, citizen, national"
市民 shimin "citizen, citizenry, public; city inhabitant, townspeople"
住民 juumin "inhabitant, resident, citizen, population"
矛盾 mujun "contradiction, inconsistency"
矛先 hokosaki "point of spear, spearhead; brunt, aim of attack, force of argument"
矛 hoko "long-handled Chinese spear, lance, pike; weapon, arms"
目 me "eye, eyeball; eyesight, sight, vision"
目的 mokuteki "purpose, goal, aim, objective, intention"
目標 mokuhyou "mark, objective, target"
理由 riyuu "reason, pretext, motive"
自由 jiyuu "freedom, liberty, as it pleases you"
経由 keiyu "going through, going via, going by way of"
幼稚園 youchien kindergarten
幼い osanai "very young; childish, immature"
幼児 youji "young child, toddler; child over 1 but not yet of school age"
用 you "business, task, errand, engagement; use, purpose"
利用 riyou "use, utilization, utilisation, application"
使用 shiyou "use, application, employment, utilization, utilisation"
立ち tachi "departure, setting off, start; being used up, being consumed, being burnt out"
立場 tachiba "position, situation; viewpoint, standpoint, point of view"
立て tate "central, main, head, chief; just (done), freshly (baked), indicates activity only just occurred"
命令 meirei "order, command, decree, directive; (software) instruction, statement"
司令 shirei "command, control, commander"
令 rei "command, order, dictation; nth year in the Reiwa era (May 1, 2019-)"
失礼 shitsurei "discourtesy, impoliteness; excuse me, goodbye"
お礼 orei "thanks, gratitude; manners, etiquette"
礼拝 reihai "worship (esp. Christian), adoration, divine service; worship (esp. Buddhist and Shinto)"
扱い atsukai "treatment, service"
扱う atsukau "to deal with (a person), to treat, to handle, to take care of, to entertain; to deal with (a problem), to handle, to manage"
取り扱い toriatsukai "treatment, service, handling, management"
安全 anzen "safety, security"
不安 fuan "anxiety, uneasiness, worry, apprehension, fear, insecurity, suspense"
安心 anshin "relief, peace of mind"
衣装 ishou "clothing, costume, outfit, garment, dress"
衣 koromo "clothes, garment; gown, robe"
浴衣 yukata "yukata (light cotton kimono worn in the summer or used as a bathrobe)"
芋 imo "tuber, taro, potato"
里芋 satoimo "taro (Colocasia esculenta), dasheen, eddo"
芋虫 imomushi "hornworm (caterpillar of a hawk moth), (hairless) caterpillar"
印象 inshou impression
印刷 insatsu printing
印 in "stamp, seal, chop; seal impression, seal, sealing, stamp, mark, print"
原因 gen'in "cause, origin, source"
要因 youin "main cause, primary factor"
因みに chinamini "by the way, in this connection, incidentally, in passing"
宇宙 uchuu "universe, cosmos, space"
宇宙船 uchuusen spaceship
宇 u "counter for buildings, etc."
羽 hane "feather, plume, down; wing"
羽目 hame "panel, wainscoting, wainscotting; plight, fix, bind, awkward situation, difficult situation, mess"
手羽 teba "chicken wing"
汚染 osen "pollution, contamination"
汚れ kegare "disgrace, shame, stain, blot, corruption, depravity; uncleanness, impurity, defilement"
汚い kitanai "dirty, filthy, foul, unclean; disordered, messy, untidy, poor (e.g. handwriting)"
仮想 kasou "imagination, supposition, virtual, potential (enemy)"
仮に karini "supposing, even if, granting that, for argument's sake; temporarily, provisionally, for the time being"
仮定 katei "assumption, supposition, hypothesis"
今回 konkai "now, this time, lately"
回 kai "counter for occurrences; a time, an instance"
前回 zenkai "previous time, last time, previous installment, previous instalment, previous session"
灰 hai "ash, ashes"
灰色 haiiro "grey, gray, ashen"
灰皿 haizara ashtray
会 kai "meeting, assembly, party; association, club"
会社 kaisha "company, corporation; workplace"
社会 shakai "society, public, community, the world"
各 kaku "each, every, all"
各種 kakushu "every kind, all sorts"
各地 kakuchi "every place, various places"
汗 ase "sweat, perspiration; moisture, condensation"
汗だく asedaku "dripping with sweat, bathed in perspiration"
冷や汗 hiyaase "cold sweat"
缶 kan "can, tin"
缶詰 kanzume "canned food, tinned food; confining someone (e.g. so they can concentrate on work)"
空き缶 akikan "empty can"
企業 kigyou "enterprise, business, company, corporation"
企画 kikaku "planning, project, plan, design"
企て kuwadate "plan, attempt, undertaking"
歌舞伎 kabuki kabuki
歌舞伎座 kabukiza "kabuki troupe, kabuki theater (theatre); Kabuki-za (theatre in Tokyo)"
危険 kiken "danger, peril, hazard; risk"
危機 kiki "crisis, critical situation, emergency, pinch"
危ない abunai "dangerous, risky, hazardous, perilous, precarious; in danger, in jeopardy, critical, grave, at risk"
机 tsukue desk
机上 kijou "on the desk; theoretical, academic, armchair (e.g. plan), desktop, paper, not yet implemented"
文机 fuzukue "Japanese-style writing desk"
気 ki "spirit, mind, heart; nature, disposition"
気持ち kimochi "feeling, sensation, mood; preparedness, readiness, attitude"
気分 kibun "feeling, mood"
吉 kichi "good fortune (esp. omikuji fortune-telling result), good luck, auspiciousness"
諭吉 yukichi "10,000 yen note"
吉日 kichijitsu "lucky day; unspecified day of the month (used to obscure the date a letter, invitation, etc. was written)"
休み yasumi "rest, recess, respite; vacation, holiday, absence, suspension"
休憩 kyuukei "rest, break, recess, intermission"
連休 renkyuu "consecutive holidays"
呼吸 kokyuu "breathing, respiration; knack, trick, secret (of doing something)"
吸収 kyuushuu "absorption, suction, attraction"
吸血鬼 kyuuketsuki "vampire, bloodsucker"
老朽 roukyuu "decrepitude, senescence, superannuation"
不朽 fukyuu "everlasting, immortal, eternal, enduring, undying, imperishable"
脱臼 dakkyuu dislocation
石臼 ishiusu "stone mortar, millstone, quern"
臼 usu "millstone, mortar"
共有 kyouyuu "joint ownership, co-ownership, sharing (e.g. a viewpoint); sharing (files, devices on a network, posts on social media, etc.)"
共通 kyoutsuu "common, shared, mutual; to be common (to), to be shared (by)"
と共に totomoni "together with, as X, then Y (e.g. as we age we gain wisdom, as wine matures it becomes more valuable, etc.)"
叫び sakebi "shout, scream, outcry"
叫ぶ sakebu "to shout, to cry, to scream, to shriek, to yell, to exclaim; to clamor (for or against), to clamour (for or against)"
絶叫 zekkyou "scream, shriek, shout, exclamation"
信仰 shinkou "(religious) faith, belief, creed"
仰る ossharu "to say, to speak, to tell, to talk"
仰天 gyouten "being amazed, being horrified, being taken aback"
曲 kyoku "composition, piece of music, song, track (on a record); tune, melody, air"
作曲 sakkyoku "composition, setting (of music)"
楽曲 gakkyoku "musical composition, tune"
刑事 keiji "(police) detective; criminal matter"
死刑 shikei "death penalty, capital punishment"
刑務所 keimusho "prison, penitentiary"
血 chi "blood, consanguinity"
血液 ketsueki blood
血糖 kettou "blood sugar"
事件 jiken "event, affair, incident, case, plot, trouble, scandal"
件 kudan "the aforementioned, the said, (man, incident, etc.) in question, the above-mentioned, the aforesaid; the usual"
条件 jouken "condition, term, requirement, qualification, prerequisite"
交換 koukan "exchange, interchange, switching, reciprocity, barter, substitution, replacement, clearing (of checks, cheques)"
交流 kouryuu "(cultural) exchange, interchange, interaction, (inter-) mingling, (social, etc.) networking, intercourse; alternating current, AC"
交通 koutsuu "traffic, transportation, communication, exchange (of ideas, etc.), intercourse"
光 hikari "light; illumination, ray, beam, gleam, glow"
観光 kankou "sightseeing, tourism"
光景 koukei "scene, spectacle, sight, view"
向け muke "intended for ..., oriented towards ..., aimed at ..."
方向 houkou "direction, orientation, bearing, way; course (e.g. of action)"
傾向 keikou "tendency, trend, inclination"
皇后 kougou "(Japanese) empress, queen"
后 kisaki "empress, queen"
好き suki "liked, well-liked, favourite, favorite; in love (with), loved, romantically interested (in)"
大好き daisuki "loveable, very likeable, like very much"
好み konomi "liking, taste, choice"
江戸 edo "Edo (old name of Tokyo)"
江 e "inlet, bay"
堀江 horie canal
考え kangae "thinking, thought, view, opinion, concept; idea, notion, imagination"
考える kangaeru "to think (about, of), to think over, to ponder, to contemplate, to reflect (on), to meditate (on); to consider, to bear in mind, to allow for, to take into consideration"
参考 sankou "reference, consultation"
行く iku "to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach; to proceed, to take place"
行き iki "the way there, outbound leg, outbound trip, departing leg; bound for ..."
行動 koudou "action, conduct, behaviour, behavior, mobilization, mobilisation"
場合 baai "case, situation"
合わせ awase "joint together, opposite, facing"
試合 shiai "match, game, bout, contest"
再 sai "re-, again, repeated, deutero-, deuto-, deuter-"
再生 saisei "resuscitation, regeneration, restoration to life; reformation, rehabilitation"
再び futatabi "again, once more, a second time"
現在 genzai "now, current, present, present time, as of"
